# 1:now_time 2:interval 3:gx 4:gy 5:gz 6:motor_number 7:output
351005642 830 0.731707 0.426829 -0.121951 0 1.022787
351006473 831 0.975610 0.121951 -0.060976 0 1.022870
351007305 832 0.975610 0.000000 0.121951 0 1.022953
351008301 996 1.036585 0.243902 0.060976 0 1.023053
351009022 721 0.914634 0.182927 -0.060976 0 1.023125
351009850 828 0.670732 0.182927 0.000000 0 1.023208
351010679 829 0.670732 0.304878 0.000000 0 1.023291
351011509 830 0.792683 0.304878 0.060976 0 1.023373
351012342 833 0.853659 0.365854 0.060976 0 1.023457
351013169 827 0.914634 0.304878 -0.060976 0 1.023540
351013997 828 0.975610 0.121951 -0.121951 0 1.023622
351014828 831 0.792683 0.121951 0.121951 0 1.023705
351015660 832 0.853659 0.182927 0.060976 0 1.023789
351016491 831 0.853659 0.426829 0.060976 0 1.023872
351017322 831 0.670732 0.365854 0.000000 0 1.023955
351018175 853 0.670732 0.304878 -0.182927 0 1.024040
351018985 810 0.914634 0.182927 -0.243902 0 1.024121
351019817 832 1.036585 0.000000 -0.182927 0 1.024204
351020646 829 0.914634 0.060976 -0.121951 0 1.024287
351021479 833 0.853659 0.060976 -0.060976 0 1.024371
351022308 829 0.975610 0.121951 -0.182927 0 1.024453
351023140 832 0.853659 0.121951 -0.182927 0 1.024537
351023970 830 0.792683 0.243902 -0.121951 0 1.024620
351024799 829 1.036585 0.304878 -0.121951 0 1.024703
351025628 829 1.097561 0.304878 -0.182927 0 1.024785
351026460 832 0.853659 0.365854 0.060976 0 1.024869
351027289 829 0.792683 0.426829 -0.182927 0 1.024951
351028337 1048 0.670732 0.548781 -0.243902 0 1.025056
351029059 722 0.609756 0.304878 0.000000 0 1.025128
351029884 825 0.792683 0.000000 -0.182927 0 1.025211
351030719 835 1.097561 -0.060976 -0.182927 0 1.025295
351031545 826 0.792683 0.000000 0.182927 0 1.025377
351032376 831 0.731707 0.182927 0.304878 0 1.025460
351033206 830 0.670732 0.243902 0.060976 0 1.025543
351034034 828 0.731707 0.304878 -0.060976 0 1.025626
351034865 831 0.853659 0.060976 -0.121951 0 1.025709
351035698 833 0.914634 0.121951 -0.182927 0 1.025792
351036525 827 0.914634 0.365854 -0.121951 0 1.025875
351037358 833 0.975610 0.243902 -0.121951 0 1.025958
351038239 881 0.914634 0.121951 0.121951 0 1.026047
351039022 783 0.853659 0.243902 0.182927 0 1.026125
351039852 830 0.914634 0.304878 0.121951 0 1.026208
351040679 827 0.975610 0.243902 0.121951 0 1.026291
351041508 829 0.853659 0.182927 0.060976 0 1.026373
351042341 833 0.914634 0.121951 -0.243902 0 1.026457
351043173 832 0.914634 0.000000 -0.365854 0 1.026540
351044001 828 0.731707 -0.060976 -0.060976 0 1.026623
351044832 831 0.792683 0.182927 0.000000 0 1.026706
351045662 830 0.914634 0.304878 0.121951 0 1.026789
351046493 831 0.853659 0.365854 0.121951 0 1.026872
351047325 832 0.731707 0.243902 0.060976 0 1.026955
351048243 918 0.853659 0.060976 0.121951 0 1.027047
351048961 718 0.792683 0.182927 0.060976 0 1.027119
351049789 828 0.670732 0.426829 -0.060976 0 1.027202
351050620 831 0.731707 0.426829 0.060976 0 1.027285
351051453 833 0.792683 0.243902 0.182927 0 1.027368
351052282 829 0.792683 0.121951 0.121951 0 1.027451
351053113 831 0.609756 -0.060976 0.060976 0 1.027534
351053944 831 0.609756 0.000000 -0.121951 0 1.027617
351054777 833 0.792683 0.243902 -0.365854 0 1.027700
351055609 832 0.914634 0.304878 -0.426829 0 1.027784
351056438 829 0.853659 0.365854 -0.243902 0 1.027866
351057268 830 0.670732 0.243902 0.304878 0 1.027949
351058123 855 0.914634 0.060976 0.243902 0 1.028035
351058931 808 1.097561 -0.182927 0.121951 0 1.028116
351059759 828 0.853659 -0.121951 0.243902 0 1.028198
351060589 830 0.670732 0.182927 0.304878 0 1.028281
351061420 831 0.731707 0.182927 0.182927 0 1.028365
351062247 827 0.609756 0.060976 -0.060976 0 1.028447
351063076 829 0.548781 0.060976 -0.182927 0 1.028530
351063908 832 0.731707 0.182927 -0.304878 0 1.028613
351064741 833 0.975610 0.121951 -0.121951 0 1.028697
351065570 829 1.036585 -0.060976 0.121951 0 1.028780
351066402 832 0.853659 -0.060976 0.121951 0 1.028863
351067233 831 0.731707 0.060976 0.060976 0 1.028946
351068217 984 0.670732 0.060976 -0.060976 0 1.029044
351068941 724 0.609756 0.182927 -0.060976 0 1.029117
351069766 825 0.792683 0.304878 -0.060976 0 1.029199
351070596 830 0.792683 0.121951 -0.243902 0 1.029282
351071426 830 0.731707 0.121951 -0.121951 0 1.029365
351072255 829 0.731707 0.243902 0.121951 0 1.029448
351073082 827 0.731707 0.365854 -0.060976 0 1.029531
351073913 831 0.731707 0.365854 -0.060976 0 1.029614
351074744 831 0.853659 0.426829 -0.121951 0 1.029697
351075575 831 0.853659 0.365854 -0.182927 0 1.029780
351076407 832 0.914634 0.000000 0.000000 0 1.029863
351077239 832 0.853659 0.121951 0.182927 0 1.029946
351078088 849 0.914634 0.304878 0.121951 0 1.030031
351078899 811 0.975610 0.182927 -0.060976 0 1.030113
351079734 835 0.914634 0.182927 0.121951 0 1.030196
351080558 824 0.914634 0.243902 0.182927 0 1.030278
351081390 832 0.853659 0.304878 0.060976 0 1.030362
351082218 828 0.792683 0.243902 0.121951 0 1.030444
351083046 828 0.731707 0.243902 0.182927 0 1.030527
351083877 831 0.731707 0.182927 0.182927 0 1.030610
351084707 830 0.853659 0.000000 0.182927 0 1.030693
351085537 830 0.975610 -0.060976 0.060976 0 1.030776
351086369 832 1.097561 -0.060976 0.000000 0 1.030859
351087200 831 0.975610 0.000000 -0.060976 0 1.030943
351088245 1045 0.731707 0.121951 -0.365854 0 1.031047
351088968 723 0.731707 0.060976 -0.426829 0 1.031119
351089792 824 0.792683 0.182927 -0.182927 0 1.031202
351090622 830 0.853659 0.243902 0.000000 0 1.031285
351091454 832 0.731707 0.243902 0.000000 0 1.031368
351092285 831 0.792683 0.304878 -0.060976 0 1.031451
351093116 831 0.853659 0.243902 -0.182927 0 1.031534
351093949 833 0.914634 0.121951 0.121951 0 1.031618
351094781 832 0.792683 0.182927 0.121951 0 1.031701
351095612 831 0.792683 0.304878 0.182927 0 1.031784
351096443 831 0.731707 0.243902 0.243902 0 1.031867
351097273 830 0.731707 0.243902 0.121951 0 1.031950
351098128 855 0.853659 0.243902 -0.060976 0 1.032035
351098937 809 0.731707 0.182927 -0.060976 0 1.032116
351099766 829 0.792683 0.182927 -0.060976 0 1.032199
351100595 829 1.036585 0.426829 -0.121951 0 1.032282
351101426 831 1.158537 0.426829 -0.304878 0 1.032365
351102256 830 0.975610 0.365854 -0.304878 0 1.032448
351103111 855 0.670732 0.243902 0.000000 0 1.032534
351103916 805 0.731707 0.121951 0.060976 0 1.032614
351104749 833 0.975610 -0.060976 0.121951 0 1.032698
351105575 826 0.975610 -0.182927 -0.060976 0 1.032780
351106409 834 0.853659 -0.060976 -0.060976 0 1.032863
351107241 832 0.792683 0.121951 -0.121951 0 1.032947
351108155 914 0.792683 0.000000 -0.060976 0 1.033038
351108873 718 0.731707 0.000000 -0.243902 0 1.033110
351109703 830 0.853659 0.060976 -0.182927 0 1.033193
351110533 830 0.670732 0.304878 0.182927 0 1.033276
351111367 834 0.670732 0.426829 0.000000 0 1.033359
351112195 828 0.792683 0.243902 0.060976 0 1.033442
351113025 830 0.792683 0.000000 0.121951 0 1.033525
351113856 831 0.670732 0.060976 0.000000 0 1.033608
351114685 829 0.670732 0.243902 -0.182927 0 1.033691
351115515 830 0.670732 0.243902 -0.060976 0 1.033774
351116347 832 0.670732 0.121951 -0.121951 0 1.033857
351117176 829 0.853659 0.121951 -0.182927 0 1.033940
351118005 829 0.792683 0.121951 -0.304878 0 1.034023
351118844 839 0.670732 0.060976 -0.182927 0 1.034107
351119666 822 0.853659 0.060976 0.000000 0 1.034189
351120498 832 0.792683 0.182927 -0.060976 0 1.034272
351121329 831 0.792683 0.182927 -0.243902 0 1.034356
351122160 831 0.670732 0.243902 -0.121951 0 1.034439
351122992 832 0.731707 0.182927 0.000000 0 1.034522
351123823 831 0.670732 0.060976 0.243902 0 1.034605
351124650 827 0.731707 0.060976 0.243902 0 1.034688
351125483 833 0.975610 0.121951 -0.121951 0 1.034771
351126313 830 1.097561 0.121951 -0.304878 0 1.034854
351127144 831 0.975610 0.060976 -0.304878 0 1.034937
351127971 827 0.914634 0.060976 -0.365854 0 1.035020
351128812 841 0.731707 0.243902 -0.304878 0 1.035104
