#時刻 刻み幅 roll pitch yaw gx gy gz ax ay az mx my mz R L F B
1634712423 2000 0.321814 1.278993 172.736420 3.841463 1.890244 -0.853659 0.254395 0.335449 1.687988 0.000000 0.000000 0.000000 1.154868 1.224769 1.264425 1.246919
1634714423 2000 0.323989 1.283291 172.729980 -0.548781 0.731707 -2.987805 -0.017090 0.104492 1.944336 0.000000 0.000000 0.000000 1.108151 1.145875 1.310042 1.326911
1634716423 2000 0.324735 1.197815 172.728928 -1.463415 0.975610 -0.060976 0.009766 -0.809082 0.758301 0.000000 0.000000 0.000000 1.223134 1.258941 1.237211 1.171694
1634718423 2000 0.358213 1.210688 172.730774 1.768293 1.951220 1.097561 -0.224609 0.072754 0.814453 0.000000 0.000000 0.000000 1.260680 1.279931 1.207685 1.142684
1634720423 2000 0.365312 1.299016 172.726807 1.219512 -2.073171 -1.951220 -0.134277 1.007812 0.863281 0.000000 0.000000 0.000000 1.150754 1.134979 1.269715 1.335531
1634722423 2000 0.341498 1.266699 172.725723 3.841463 1.097561 -0.182927 0.252441 -0.390137 1.018066 0.000000 0.000000 0.000000 1.231435 1.220152 1.211629 1.227763
1634724423 2000 0.372239 1.167624 172.724472 -3.414634 1.463415 -0.121951 -0.329102 -1.094238 0.690430 0.000000 0.000000 0.000000 1.260473 1.237456 1.230797 1.162254
1634726423 2000 0.370570 1.144310 172.722290 -0.914634 -1.646342 -0.731707 -0.034668 -0.349121 1.844727 0.000000 0.000000 0.000000 1.212421 1.190386 1.253725 1.234448
1634728423 2000 0.393053 1.200422 172.719986 3.048780 2.012195 -1.097561 -0.320801 0.853516 1.696777 0.000000 0.000000 0.000000 1.187774 1.169911 1.258428 1.274867
1634730423 2000 0.426051 1.201543 172.720291 -1.524390 1.036585 0.365854 -0.336426 0.048828 1.163086 0.000000 0.000000 0.000000 1.267510 1.238956 1.218908 1.165606
1634732423 2000 0.396158 1.197278 172.717255 2.256098 -0.548781 -1.219512 0.238281 -0.070312 0.922852 0.000000 0.000000 0.000000 1.200901 1.175077 1.272972 1.242030
