#time h roll pitch yaw R L F B
2146155259 2000 -0.046341 1.653737 -179.570038 1.000000 1.000000 1.000000 1.000000
2146157259 2000 -0.046671 1.653449 -179.571106 1.000000 1.000000 1.000000 1.000000
2146159259 2000 -0.046272 1.652365 -179.572144 1.000000 1.000000 1.000000 1.000000
2146161259 2000 -0.044893 1.652187 -179.572830 1.000000 1.000000 1.000000 1.000000
2146163259 2000 -0.045134 1.651793 -179.573410 1.000000 1.000000 1.000000 1.000000
2146165259 2000 -0.044885 1.651860 -179.573608 1.000000 1.000000 1.000000 1.000000
2146167259 2000 -0.045334 1.652071 -179.573822 1.000000 1.000000 1.000000 1.000000
2146169259 2000 -0.046357 1.650871 -179.574753 1.000000 1.000000 1.000000 1.000000
2146171259 2000 -0.047329 1.650193 -179.575455 1.000000 1.000000 1.000000 1.000000
2146173259 2000 -0.047647 1.649924 -179.576035 1.000000 1.000000 1.000000 1.000000
2146175259 2000 -0.047580 1.649602 -179.576859 1.000000 1.000000 1.000000 1.000000
2146177259 2000 -0.046754 1.649267 -179.577164 1.000000 1.000000 1.000000 1.000000
2146179259 2000 -0.046377 1.648338 -179.577484 1.000000 1.000000 1.000000 1.000000
2146181259 2000 -0.046364 1.648946 -179.578308 1.000000 1.000000 1.000000 1.000000
2146183259 2000 -0.046477 1.649018 -179.578629 1.000000 1.000000 1.000000 1.000000
2146185259 2000 -0.047126 1.648048 -179.579559 1.000000 1.000000 1.000000 1.000000
2146187259 2000 -0.047247 1.647990 -179.580017 1.000000 1.000000 1.000000 1.000000
2146189259 2000 -0.046944 1.647955 -179.580582 1.000000 1.000000 1.000000 1.000000
2146191259 2000 -0.046033 1.647303 -179.581009 1.000000 1.000000 1.000000 1.000000
2146193259 2000 -0.045840 1.647825 -179.581100 1.000000 1.000000 1.000000 1.000000
2146195259 2000 -0.045276 1.648263 -179.582397 1.000000 1.000000 1.000000 1.000000
2146197259 2000 -0.044817 1.647189 -179.582825 1.000000 1.000000 1.000000 1.000000
2146199259 2000 -0.044881 1.646938 -179.583405 1.000000 1.000000 1.000000 1.000000
2146201259 2000 -0.044960 1.647133 -179.583984 1.000000 1.000000 1.000000 1.000000
2146203259 2000 -0.044932 1.647074 -179.584656 1.000000 1.000000 1.000000 1.000000
2146205259 2000 -0.044383 1.647514 -179.585480 1.000000 1.000000 1.000000 1.000000
2146207259 2000 -0.043262 1.648063 -179.586411 1.000000 1.000000 1.000000 1.000000
2146209259 2000 -0.042140 1.647788 -179.586975 1.000000 1.000000 1.000000 1.000000
2146211259 2000 -0.042285 1.648684 -179.587799 1.000000 1.000000 1.000000 1.000000
2146213259 2000 -0.042674 1.649298 -179.587753 1.000000 1.000000 1.000000 1.000000
2146215259 2000 -0.043447 1.650195 -179.587967 1.000000 1.000000 1.000000 1.000000
2146217259 2000 -0.044162 1.650090 -179.588654 1.000000 1.000000 1.000000 1.000000
2146219259 2000 -0.044796 1.650038 -179.589584 1.000000 1.000000 1.000000 1.000000
2146221259 2000 -0.043478 1.650853 -179.590271 1.000000 1.000000 1.000000 1.000000
2146223259 2000 -0.043817 1.651029 -179.590851 1.000000 1.000000 1.000000 1.000000
2146225259 2000 -0.045044 1.651168 -179.591034 1.000000 1.000000 1.000000 1.000000
2146227259 2000 -0.046139 1.651546 -179.591614 1.000000 1.000000 1.000000 1.000000
2146229259 2000 -0.045321 1.652503 -179.591812 1.000000 1.000000 1.000000 1.000000
2146231259 2000 -0.045647 1.652984 -179.592636 1.000000 1.000000 1.000000 1.000000
2146233259 2000 -0.045305 1.652143 -179.592712 1.000000 1.000000 1.000000 1.000000
2146235259 2000 -0.045405 1.651563 -179.593384 1.000000 1.000000 1.000000 1.000000
2146237259 2000 -0.045173 1.651859 -179.594330 1.000000 1.000000 1.000000 1.000000
2146239259 2000 -0.045232 1.651248 -179.595261 1.000000 1.000000 1.000000 1.000000
2146241259 2000 -0.045364 1.651126 -179.596329 1.000000 1.000000 1.000000 1.000000
2146243259 2000 -0.045227 1.650154 -179.596893 1.000000 1.000000 1.000000 1.000000
2146245259 2000 -0.045199 1.650627 -179.597336 1.000000 1.000000 1.000000 1.000000
2146247259 2000 -0.043955 1.650413 -179.597656 1.000000 1.000000 1.000000 1.000000
2146249259 2000 -0.044302 1.650117 -179.597977 1.000000 1.000000 1.000000 1.000000
2146251259 2000 -0.044598 1.650263 -179.598938 1.000000 1.000000 1.000000 1.000000
2146253259 2000 -0.045290 1.648953 -179.599380 1.000000 1.000000 1.000000 1.000000
2146255259 2000 -0.045459 1.649301 -179.600189 1.000000 1.000000 1.000000 1.000000
2146257259 2000 -0.046381 1.650101 -179.601028 1.000000 1.000000 1.000000 1.000000
2146259259 2000 -0.047607 1.649765 -179.601608 1.000000 1.000000 1.000000 1.000000
2146261259 2000 -0.047510 1.650749 -179.602066 1.000000 1.000000 1.000000 1.000000
2146263259 2000 -0.046851 1.651737 -179.602768 1.000000 1.000000 1.000000 1.000000
2146265259 2000 -0.046276 1.650716 -179.602936 1.000000 1.000000 1.000000 1.000000
2146267259 2000 -0.046152 1.650351 -179.603882 1.000000 1.000000 1.000000 1.000000
2146269259 2000 -0.045765 1.650015 -179.605057 1.000000 1.000000 1.000000 1.000000
2146271259 2000 -0.044638 1.649882 -179.605606 1.000000 1.000000 1.000000 1.000000
2146273259 2000 -0.044492 1.649627 -179.606033 1.000000 1.000000 1.000000 1.000000
2146275259 2000 -0.044356 1.649480 -179.606232 1.000000 1.000000 1.000000 1.000000
2146277259 2000 -0.044347 1.649484 -179.607407 1.000000 1.000000 1.000000 1.000000
2146279259 2000 -0.044603 1.649852 -179.607849 1.000000 1.000000 1.000000 1.000000
2146281259 2000 -0.045152 1.649747 -179.608414 1.000000 1.000000 1.000000 1.000000
2146283259 2000 -0.044668 1.649898 -179.609222 1.000000 1.000000 1.000000 1.000000
2146285259 2000 -0.044000 1.650403 -179.609909 1.000000 1.000000 1.000000 1.000000
2146287259 2000 -0.044297 1.650744 -179.610596 1.000000 1.000000 1.000000 1.000000
2146289259 2000 -0.044544 1.650357 -179.611923 1.000000 1.000000 1.000000 1.000000
2146291259 2000 -0.043427 1.649370 -179.612717 1.000000 1.000000 1.000000 1.000000
2146293259 2000 -0.042739 1.649631 -179.613297 1.000000 1.000000 1.000000 1.000000
2146295259 2000 -0.041587 1.649729 -179.613983 1.000000 1.000000 1.000000 1.000000
2146297259 2000 -0.042103 1.649081 -179.614914 1.000000 1.000000 1.000000 1.000000
2146299259 2000 -0.042590 1.649490 -179.615860 1.000000 1.000000 1.000000 1.000000
2146301259 2000 -0.042315 1.649747 -179.616669 1.000000 1.000000 1.000000 1.000000
2146303259 2000 -0.041961 1.649336 -179.617355 1.000000 1.000000 1.000000 1.000000
2146305259 2000 -0.042690 1.649733 -179.617798 1.000000 1.000000 1.000000 1.000000
2146307259 2000 -0.043371 1.649631 -179.618118 1.000000 1.000000 1.000000 1.000000
2146309259 2000 -0.042761 1.648130 -179.618301 1.000000 1.000000 1.000000 1.000000
2146311259 2000 -0.042230 1.647838 -179.619110 1.000000 1.000000 1.000000 1.000000
2146313259 2000 -0.043014 1.648033 -179.619812 1.000000 1.000000 1.000000 1.000000
2146315259 2000 -0.042065 1.647670 -179.619995 1.000000 1.000000 1.000000 1.000000
2146317259 2000 -0.041571 1.646998 -179.620560 1.000000 1.000000 1.000000 1.000000
2146319259 2000 -0.042290 1.647386 -179.621124 1.000000 1.000000 1.000000 1.000000
2146321259 2000 -0.042500 1.647053 -179.621704 1.000000 1.000000 1.000000 1.000000
2146323259 2000 -0.042627 1.647170 -179.622650 1.000000 1.000000 1.000000 1.000000
2146325259 2000 -0.042047 1.646558 -179.623215 1.000000 1.000000 1.000000 1.000000
2146327259 2000 -0.041479 1.646459 -179.623901 1.000000 1.000000 1.000000 1.000000
2146329259 2000 -0.041858 1.647151 -179.624588 1.000000 1.000000 1.000000 1.000000
2146331259 2000 -0.042222 1.646847 -179.625290 1.000000 1.000000 1.000000 1.000000
2146333259 2000 -0.042614 1.647336 -179.625732 1.000000 1.000000 1.000000 1.000000
2146335259 2000 -0.043871 1.648122 -179.627029 1.000000 1.000000 1.000000 1.000000
2146337259 2000 -0.043111 1.647980 -179.627213 1.000000 1.000000 1.000000 1.000000
2146339259 2000 -0.043168 1.647917 -179.627670 1.000000 1.000000 1.000000 1.000000
2146341259 2000 -0.042454 1.648269 -179.628708 1.000000 1.000000 1.000000 1.000000
2146343259 2000 -0.041552 1.648586 -179.629257 1.000000 1.000000 1.000000 1.000000
2146345259 2000 -0.041287 1.647779 -179.630310 1.000000 1.000000 1.000000 1.000000
2146347259 2000 -0.042012 1.648017 -179.630905 1.000000 1.000000 1.000000 1.000000
2146349259 2000 -0.040498 1.648615 -179.631699 1.000000 1.000000 1.000000 1.000000
2146351259 2000 -0.040383 1.648634 -179.631882 1.000000 1.000000 1.000000 1.000000
2146353259 2000 -0.040116 1.648193 -179.632568 1.000000 1.000000 1.000000 1.000000
2146355259 2000 -0.039527 1.648116 -179.633270 1.000000 1.000000 1.000000 1.000000
2146357259 2000 -0.040087 1.647006 -179.633713 1.000000 1.000000 1.000000 1.000000
2146359259 2000 -0.040310 1.647528 -179.633911 1.000000 1.000000 1.000000 1.000000
2146361259 2000 -0.040447 1.647421 -179.634338 1.000000 1.000000 1.000000 1.000000
2146363259 2000 -0.039717 1.647577 -179.635147 1.000000 1.000000 1.000000 1.000000
