#時刻 刻み幅 roll pitch yaw gx gy gz ax ay az mx my mz R L F B
1279158470 2001 0.921819 16.683979 -176.754990 2.256098 0.182927 -1.158537 0.549316 0.599121 0.829102 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279160471 2001 0.893083 16.797144 -176.753937 1.524390 2.317073 -0.853659 0.318848 0.992188 -0.252930 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279162472 2001 0.933442 16.891621 -176.749771 -1.219512 1.646342 1.097561 -0.242676 0.663086 0.120117 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279164473 2001 0.969240 16.822912 -176.750931 -1.646342 -4.451220 1.585366 -0.720703 -0.641602 1.474609 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279166474 2001 0.987350 16.748411 -176.752380 1.402439 2.195122 -0.487805 -0.363770 -1.284180 2.441895 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279168475 2001 0.964173 16.691757 -176.757996 2.804878 -1.219512 -1.768293 0.376953 -0.640137 1.959961 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279170475 2000 0.890737 16.770720 -176.759689 0.426829 -0.243902 -1.280488 0.765625 0.886230 0.173340 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279172476 2001 0.862709 16.885391 -176.759293 3.109756 3.170732 -1.402439 0.445801 1.226562 -0.590332 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279174477 2001 0.929412 16.919088 -176.759048 -0.792683 -1.890244 0.670732 -0.627930 0.486816 0.591797 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279176478 2001 0.973915 16.842936 -176.758240 0.731707 0.243902 1.280488 -0.779297 -0.962402 1.481934 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279178480 2002 0.970973 16.761213 -176.760849 -0.487805 -1.707317 0.121951 -0.038086 -1.357910 2.378906 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279180499 2019 0.942031 16.717421 -176.767242 3.048780 -2.865854 -1.768293 0.452637 -0.406250 2.181641 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279182500 2001 0.891231 16.813654 -176.768021 -0.304878 1.280488 -1.402439 0.514160 0.957031 0.021973 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279184501 2001 0.893829 16.932894 -176.767273 2.500000 0.365854 -0.426829 -0.016113 1.317383 -0.600098 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279186501 2000 0.973846 16.982746 -176.763916 2.256098 3.719512 0.487805 -0.459473 0.391602 0.359375 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279188501 2000 1.004641 16.912872 -176.761963 1.341463 1.890244 1.341463 -0.548340 -0.892090 1.854492 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279190502 2001 1.012377 16.834211 -176.764374 0.304878 0.487805 -0.426829 -0.213379 -1.489258 2.714844 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279192503 2001 0.982463 16.788891 -176.768997 4.756098 0.060976 -1.707317 0.517090 -0.470703 1.855957 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279194504 2001 0.941367 16.893541 -176.771027 0.426829 -1.341463 -1.341463 0.522461 1.430176 -0.000977 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279196505 2001 0.917129 17.002266 -176.768692 1.097561 1.097561 0.182927 0.444336 1.482422 -1.050293 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279198506 2001 1.001874 17.001921 -176.764969 1.646342 3.719512 1.097561 -0.701172 0.162598 0.693848 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279200507 2001 1.028895 16.922106 -176.766724 0.182927 -3.475610 1.158537 -0.835449 -1.362305 2.144531 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279202508 2001 1.031072 16.848112 -176.770554 2.500000 -0.731707 -0.792683 -0.125977 -1.547363 2.851074 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279204509 2001 0.983109 16.823107 -176.774643 3.536586 -1.097561 -1.280488 0.634277 -0.051758 1.466309 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279206510 2001 0.963464 16.941801 -176.774673 3.780488 2.621951 -1.585366 0.395508 1.699707 -0.248047 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279208510 2000 0.960012 17.059982 -176.772507 3.048780 2.195122 -0.304878 0.135254 1.575684 -0.908691 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279210511 2001 1.039172 17.018476 -176.769897 -0.853659 1.524390 1.524390 -0.530762 -0.128418 0.542480 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279212512 2001 1.048599 16.931696 -176.771866 0.121951 -2.621951 0.853659 -0.408691 -1.647461 2.337891 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279214513 2001 1.062664 16.851179 -176.775085 1.158537 -0.853659 -0.365854 -0.566895 -2.015625 3.230469 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279216514 2001 1.049392 16.783052 -176.780472 3.719512 -1.219512 -1.463415 0.272949 -1.309570 2.656738 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279218515 2001 1.036021 16.900841 -176.780182 2.256098 1.280488 -1.097561 0.284668 1.918457 -0.347656 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279220516 2001 1.027870 17.012289 -176.777420 -0.975610 3.109756 -0.365854 0.315430 2.196289 -0.986816 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279222517 2001 1.047389 17.122036 -176.772461 -1.890244 0.914634 1.463415 -0.164551 0.958984 -0.244629 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279224518 2001 1.084791 17.038734 -176.773117 -0.670732 -0.853659 0.975610 -0.661621 -0.988770 1.414062 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279226518 2000 1.077378 16.949291 -176.778580 -1.219512 -6.829268 0.365854 -0.226562 -2.064941 3.006348 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279228519 2001 1.050958 16.895185 -176.784744 5.914634 -2.256098 -1.646342 0.528809 -0.949707 2.564941 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279230520 2001 1.008367 16.986618 -176.786255 4.939024 2.804878 -2.195122 0.555664 1.096191 0.440918 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279232520 2000 1.013137 17.102180 -176.783478 0.914634 2.987805 -0.304878 0.030762 1.925781 -0.975586 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279234521 2001 1.054074 17.202417 -176.779449 -3.109756 0.000000 1.341463 -0.314453 0.726562 -0.343750 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279236522 2001 1.062369 17.114813 -176.782990 -1.158537 -4.634146 0.670732 -0.264648 -0.882324 1.313477 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279238522 2000 1.061778 17.031212 -176.787308 -1.463415 -3.353659 -0.182927 -0.229980 -1.828125 3.236816 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279240522 2000 1.047918 16.962528 -176.790756 -0.060976 -2.926829 0.000000 0.158691 -0.963379 2.469727 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279242523 2001 1.015244 17.061422 -176.793076 2.621951 -1.951220 -1.280488 0.338379 1.239258 0.353516 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279244524 2001 1.001334 17.182594 -176.790451 4.207317 0.975610 0.243902 0.342285 2.140137 -1.055176 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279246525 2001 1.047836 17.289766 -176.786682 2.256098 3.414634 0.182927 -0.274902 0.718262 0.006836 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279248526 2001 1.069084 17.195288 -176.788193 -1.646342 -2.378049 1.097561 -0.554199 -1.438477 1.703613 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279250527 2001 1.068118 17.111080 -176.793930 -0.243902 -5.792683 -0.121951 -0.391113 -2.074219 3.324219 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279252528 2001 1.034875 17.057034 -176.800018 4.024390 -0.914634 -2.073171 0.617188 -0.687012 2.044922 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279254529 2001 1.007435 17.167898 -176.799316 2.073171 2.621951 -1.219512 0.544434 1.800781 -0.065430 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279256530 2001 1.003573 17.282120 -176.795212 0.975610 2.500000 0.548781 0.185547 2.048340 -1.166504 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279258531 2001 1.106441 17.320044 -176.793686 -3.231707 0.121951 0.609756 -0.550293 0.255859 0.058105 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279260532 2001 1.112943 17.226292 -176.797531 1.402439 -2.134146 -0.121951 -0.270996 -1.858887 1.914062 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279262533 2001 1.111761 17.145597 -176.800934 1.463415 -2.378049 0.060976 -0.160645 -2.028320 3.298828 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279264534 2001 1.076309 17.098043 -176.804352 1.219512 -2.804878 -0.182927 0.413574 -0.301270 1.564453 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279266535 2001 1.073250 17.206808 -176.801804 -0.487805 2.682927 -0.365854 0.135254 1.929199 0.002930 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279268536 2001 1.075331 17.325516 -176.797241 2.560976 4.024390 0.243902 0.112793 1.896484 -0.980957 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279270537 2001 1.156451 17.398060 -176.792297 -3.719512 2.378049 1.280488 -0.276367 0.292969 0.006348 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279272538 2001 1.161200 17.304512 -176.793243 0.060976 0.609756 0.548781 -0.125000 -1.814941 2.176270 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279274539 2001 1.159793 17.225765 -176.799301 2.256098 -4.329268 -0.670732 -0.270020 -2.029297 3.332031 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279276540 2001 1.127085 17.183718 -176.802322 1.524390 -0.670732 -0.670732 0.377930 -0.192383 1.367188 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279278541 2001 1.118438 17.301138 -176.802292 1.829268 -1.402439 -0.487805 0.110352 2.035156 -0.303223 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279280542 2001 1.113850 17.411943 -176.798508 -1.890244 1.524390 0.548781 0.130859 1.831543 -0.732910 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
1279282543 2001 1.171553 17.380283 -176.799454 -2.378049 -0.426829 0.182927 -0.471191 0.001953 0.751465 0.000000 0.000000 0.000000 2.000000 2.000000 2.000000 2.000000
