#time h roll pitch yaw rroll rpitch ryaw gx gy gz ax ay az mx my mz R L F B 
4176386178 2000 0.300743 1.952191 -171.918945 2.672421 2.672421 0.000000 1.829268 -0.731707 -4.085366 0.679199 -1.235352 1.068848 0.000000 0.000000 0.000000 1.261517 1.221102 1.787794 1.377753
4176388178 2000 0.339090 1.882230 -171.907883 2.672421 2.672421 0.000000 -18.109756 -1.646342 5.670732 -0.775879 -0.584473 1.840332 0.000000 0.000000 0.000000 1.615751 1.574185 1.394130 1.064099
4176390178 2000 0.408555 1.894488 -171.912872 2.672421 2.672421 0.000000 -16.524391 4.085366 -2.743902 -0.560059 0.425781 0.758789 0.000000 0.000000 0.000000 1.369443 1.330250 1.619963 1.328510
4176392178 2000 0.335690 1.854689 -171.916794 2.672421 2.672421 0.000000 4.939024 -0.487805 -1.768293 0.965820 -0.655273 0.980957 0.000000 0.000000 0.000000 1.287790 1.304586 1.706316 1.349474
4176394178 2000 0.399282 1.726358 -171.908798 2.672421 2.672421 0.000000 -24.451220 1.524390 4.207317 -1.161133 -1.512207 1.024902 0.000000 0.000000 0.000000 1.549923 1.566843 1.437160 1.094239
4176396178 2000 0.481075 1.791345 -171.910660 2.672421 2.672421 0.000000 -6.707317 2.256098 -1.280488 -0.947266 0.956055 0.354492 0.000000 0.000000 0.000000 1.431754 1.397207 1.479272 1.339933
4176398178 2000 0.479084 1.788393 -171.909882 2.672421 2.672421 0.000000 3.048780 0.243902 0.426829 0.023926 -0.094238 1.535645 0.000000 0.000000 0.000000 1.377333 1.358945 1.498840 1.413048
4176400178 2000 0.505956 1.671985 -171.900986 2.561070 2.672421 0.000000 -24.756098 0.975610 4.695122 -0.496582 -1.270508 1.718262 0.000000 0.000000 0.000000 1.603968 1.556700 1.339276 1.148221
4176402178 2000 0.587972 1.727941 -171.901428 2.561070 2.672421 0.000000 7.012195 4.756098 -0.548781 -0.647949 0.379883 0.670410 0.000000 0.000000 0.000000 1.468280 1.358242 1.467489 1.354155
4176404178 2000 0.617943 1.721113 -171.902313 2.561070 2.672421 0.000000 -1.646342 0.548781 -0.426829 -0.360840 -0.020020 1.328125 0.000000 0.000000 0.000000 1.405606 1.308721 1.475054 1.458785
4176406178 2000 0.648612 1.696847 -171.898438 2.561070 2.672421 0.000000 -19.390244 -0.853659 1.890244 -0.275879 0.134277 0.885254 0.000000 0.000000 0.000000 1.519923 1.443184 1.386609 1.298450
4176408178 2000 0.646800 1.820480 -171.894180 2.561070 2.783772 0.000000 14.573171 2.195122 1.524390 0.041504 0.699219 0.453613 0.000000 0.000000 0.000000 1.491899 1.415111 1.408442 1.332714
4176410178 2000 0.627894 1.745655 -171.891251 2.561070 2.783772 0.000000 -5.670732 5.548781 1.646342 0.365723 -0.779297 1.132812 0.000000 0.000000 0.000000 1.421352 1.407609 1.431583 1.387622
4176412178 2000 0.631502 1.740056 -171.887711 2.561070 2.783772 0.000000 -6.463415 -3.353659 1.829268 -0.129395 0.105469 1.274902 0.000000 0.000000 0.000000 1.463614 1.481201 1.398335 1.305016
4176414178 2000 0.557871 1.847705 -171.885925 2.561070 2.783772 0.000000 15.731708 -5.487805 0.670732 0.626953 0.770508 0.563477 0.000000 0.000000 0.000000 1.406547 1.466316 1.387444 1.387858
4176416178 2000 0.685802 1.805496 -171.883438 2.561070 2.783772 0.000000 -6.585366 12.134147 1.036585 -0.393066 -0.111328 0.130859 0.000000 0.000000 0.000000 1.414442 1.434031 1.407239 1.392453
4176418178 2000 0.653955 1.851827 -171.877319 2.561070 2.783772 0.000000 4.085366 -9.207317 3.109756 0.186035 0.608398 1.601074 0.000000 0.000000 0.000000 1.474128 1.506053 1.327304 1.340682
4176420178 2000 0.598868 1.855996 -171.873779 2.561070 2.783772 0.000000 12.073172 -3.719512 2.012195 0.662598 -0.257812 1.443359 0.000000 0.000000 0.000000 1.432468 1.479420 1.329812 1.406466
4176422178 2000 0.657674 1.751900 -171.876007 2.449719 2.783772 0.000000 -1.158537 11.646342 -0.914634 -0.383301 -1.144043 -0.303223 0.000000 0.000000 0.000000 1.376993 1.355627 1.459887 1.455659
4176424178 2000 0.593472 1.820023 -171.876862 2.449719 2.783772 0.000000 11.097562 -15.670732 -0.182927 0.398926 0.592285 1.218750 0.000000 0.000000 0.000000 1.423227 1.398736 1.452615 1.418128
4176426178 2000 0.585973 1.922511 -171.871216 2.449719 2.783772 0.000000 10.853659 2.439024 2.317073 0.161621 1.135254 1.074219 0.000000 0.000000 0.000000 1.467443 1.497202 1.322371 1.405689
4176428178 2000 0.603572 1.837669 -171.875320 2.449719 2.783772 0.000000 9.756098 6.707317 -1.707317 -0.041504 -1.019531 0.433594 0.000000 0.000000 0.000000 1.335955 1.345764 1.517153 1.493834
4176430178 2000 0.502727 1.831901 -171.879608 2.449719 2.783772 0.000000 9.939025 -16.341463 -1.463415 0.885254 -0.316895 1.146973 0.000000 0.000000 0.000000 1.344590 1.373714 1.502894 1.471508
4176432178 2000 0.523784 1.966149 -171.873276 2.449719 2.895123 0.000000 12.926829 5.060976 2.500000 -0.144043 1.393066 0.418945 0.000000 0.000000 0.000000 1.463044 1.551602 1.303698 1.374363
4176434178 2000 0.472389 2.009528 -171.874451 2.449719 2.895123 0.000000 17.804878 3.780488 -0.731707 0.246582 0.041016 0.408203 0.000000 0.000000 0.000000 1.361078 1.445031 1.417431 1.469166
4176436178 2000 0.354876 1.985099 -171.873398 2.449719 2.895123 0.000000 8.109756 -15.426830 1.219512 1.187988 -0.549316 0.844238 0.000000 0.000000 0.000000 1.372022 1.501160 1.434906 1.384617
4176438178 2000 0.345950 2.133970 -171.863892 2.449719 2.895123 0.000000 20.060976 5.548781 4.207317 0.197266 1.038574 -0.337891 0.000000 0.000000 0.000000 1.496549 1.636390 1.210055 1.349713
4176440178 2000 0.238401 2.156948 -171.869202 2.449719 2.895123 0.000000 19.695124 1.280488 -2.621951 0.473145 -0.078613 -0.065918 0.000000 0.000000 0.000000 1.287351 1.430953 1.405645 1.568757
4176442178 2000 0.106569 2.176305 -171.871094 2.449719 2.895123 0.000000 5.731708 -17.195122 -0.304878 1.532227 0.135742 0.898438 0.000000 0.000000 0.000000 1.285990 1.492071 1.376990 1.537656
4176444178 2000 0.071049 2.320007 -171.862549 2.449719 2.895123 0.000000 28.109756 4.512196 4.024390 0.551270 1.096680 0.691895 0.000000 0.000000 0.000000 1.451180 1.651271 1.173229 1.417026
4176446178 2000 0.033744 2.326495 -171.873215 2.338369 2.895123 0.000000 19.207317 3.414634 -5.426829 0.474121 -0.310547 1.059570 0.000000 0.000000 0.000000 1.186811 1.309542 1.463847 1.732506
4176448178 2000 -0.103934 2.327556 -171.882492 2.338369 2.895123 0.000000 8.475610 -23.353659 -3.658537 1.895508 -0.303711 1.349121 0.000000 0.000000 0.000000 1.183540 1.359154 1.499790 1.650222
4176450178 2000 -0.084757 2.499186 -171.872681 2.338369 2.895123 0.000000 29.573170 8.109756 4.634146 -0.017578 0.640625 0.098633 0.000000 0.000000 0.000000 1.526052 1.650789 1.121540 1.394325
4176452178 2000 -0.041109 2.542206 -171.882858 2.338369 2.895123 0.000000 18.597563 1.280488 -5.121951 -0.195312 0.043945 0.513184 0.000000 0.000000 0.000000 1.245510 1.299623 1.427499 1.720074
4176454178 2000 -0.140687 2.579414 -171.889404 2.338369 2.895123 0.000000 13.536586 -26.158537 -2.073171 1.069824 0.296387 2.274414 0.000000 0.000000 0.000000 1.280369 1.361106 1.421554 1.629678
4176456178 2000 -0.017956 2.711589 -171.881744 2.338369 2.895123 0.000000 28.109756 18.780489 2.987805 -0.570312 0.497559 -0.038574 0.000000 0.000000 0.000000 1.537059 1.597099 1.123616 1.434932
4176458178 2000 -0.075337 2.666365 -171.888321 2.338369 2.895123 0.000000 17.134148 -7.743903 -2.926829 0.309570 -0.612793 -0.459473 0.000000 0.000000 0.000000 1.357707 1.386207 1.337705 1.611087
4176460178 2000 -0.188896 2.746962 -171.893646 2.338369 2.895123 0.000000 17.012196 -20.182928 -1.646342 1.271973 0.836426 1.222168 0.000000 0.000000 0.000000 1.286077 1.368812 1.417824 1.619993
4176462178 2000 -0.098501 2.903346 -171.886307 2.338369 2.895123 0.000000 29.451220 21.097563 2.743902 -0.532227 1.079590 0.342285 0.000000 0.000000 0.000000 1.525145 1.588282 1.141646 1.437634
4176464178 2000 -0.227357 2.868395 -171.895370 2.338369 2.895123 0.000000 15.426830 -19.634146 -3.597561 1.853027 -1.364258 0.338379 0.000000 0.000000 0.000000 1.297910 1.374052 1.391591 1.629152
4176466178 2000 -0.290998 2.880475 -171.903397 2.338369 2.895123 0.000000 17.743902 -7.682927 -3.658537 1.104492 -0.444336 2.238770 0.000000 0.000000 0.000000 1.207876 1.359209 1.491947 1.633674
4176468178 2000 -0.203580 3.033468 -171.894348 2.338369 3.006474 0.000000 30.609758 16.646341 3.841463 -1.187012 2.026855 0.809570 0.000000 0.000000 0.000000 1.521417 1.613961 1.172638 1.384691
4176470178 2000 -0.358695 3.089484 -171.900208 2.338369 3.006474 0.000000 13.109756 -23.536585 -1.585366 1.630859 0.412598 -0.263184 0.000000 0.000000 0.000000 1.336718 1.447440 1.357520 1.551028
4176472178 2000 -0.416816 3.083614 -171.908279 2.338369 3.006474 0.000000 16.707317 5.426829 -4.451220 0.929199 -0.481934 1.074219 0.000000 0.000000 0.000000 1.176843 1.347559 1.552358 1.615946
4176474178 2000 -0.372687 3.214437 -171.906052 2.338369 3.006474 0.000000 28.170732 5.853659 1.036585 -0.629395 1.535645 1.520996 0.000000 0.000000 0.000000 1.439707 1.540793 1.256692 1.455515
4176476178 2000 -0.479348 3.294145 -171.899445 2.227018 3.006474 0.000000 9.390244 -20.914635 4.695122 0.846191 0.824707 0.878906 0.000000 0.000000 0.000000 1.563759 1.637472 1.118477 1.372998
4176478178 2000 -0.473669 3.264325 -171.901352 2.227018 3.006474 0.000000 19.268291 13.231708 -2.012195 0.108398 -0.319336 0.447266 0.000000 0.000000 0.000000 1.271218 1.377574 1.423579 1.620335
4176480178 2000 -0.552430 3.260521 -171.906799 2.227018 3.006474 0.000000 21.829269 -7.439025 -2.500000 0.993652 -0.676270 1.243164 0.000000 0.000000 0.000000 1.325726 1.402334 1.407911 1.556735
4176482178 2000 -0.622519 3.276473 -171.905441 2.227018 3.006474 0.000000 4.024390 -9.939025 1.280488 0.366699 0.087402 0.715332 0.000000 0.000000 0.000000 1.465053 1.547154 1.256949 1.423550
4176484178 2000 -0.521424 3.402273 -171.898361 2.227018 3.006474 0.000000 25.121952 10.182927 3.292683 -1.561523 1.468750 0.485840 0.000000 0.000000 0.000000 1.482436 1.540746 1.252212 1.417312
4176486178 2000 -0.553840 3.490754 -171.906219 2.227018 3.006474 0.000000 12.926829 -10.548781 -2.987805 0.143555 0.744141 1.011719 0.000000 0.000000 0.000000 1.249850 1.323332 1.472818 1.646706
4176488178 2000 -0.571144 3.390131 -171.908829 2.227018 3.006474 0.000000 0.182927 1.280488 -1.890244 0.224609 -1.076660 0.538574 0.000000 0.000000 0.000000 1.345164 1.428018 1.402145 1.517379
4176490178 2000 -0.527551 3.464226 -171.902710 2.227018 3.006474 0.000000 25.975611 0.487805 3.109756 -0.970703 0.626465 2.370605 0.000000 0.000000 0.000000 1.524728 1.558210 1.215366 1.394402
4176492178 2000 -0.490326 3.558667 -171.898880 2.227018 3.006474 0.000000 6.646341 -5.853659 2.621951 -0.855957 1.478027 1.048828 0.000000 0.000000 0.000000 1.493935 1.484125 1.235464 1.479182
4176494178 2000 -0.519399 3.640321 -171.903793 2.227018 3.006474 0.000000 9.268292 2.195122 -2.317073 0.229980 0.387207 -0.641113 0.000000 0.000000 0.000000 1.299461 1.342014 1.420598 1.630633
4176496178 2000 -0.581337 3.599517 -171.904175 2.227018 3.006474 0.000000 18.231709 -4.085366 -0.304878 1.130859 -1.544922 1.354980 0.000000 0.000000 0.000000 1.416415 1.471402 1.349549 1.455341
